using ndc
-0.0471843 -0.290843 0.734692
-0.0396936 -0.295024 0.711676
-0.128128 -0.239626 0.629998
-0.126552 -0.239057 0.633025
-0.123542 -0.240418 0.629144
-0.122052 -0.239729 0.63206
-0.118846 -0.241502 0.628771
-0.11742 -0.240561 0.631505
-0.136674 -0.239213 0.635341
-0.134906 -0.238873 0.638685
-0.132419 -0.239197 0.63189
-0.13076 -0.238738 0.635066
-0.157562 -0.26476 0.720026
-0.15507 -0.264546 0.723671
-0.157357 -0.262189 0.714588
-0.1554 -0.261712 0.716736
-0.15731 -0.259193 0.707076
-0.155471 -0.258955 0.709688
-0.156815 -0.267692 0.725737
-0.145453 -0.241008 0.648032
-0.143263 -0.240861 0.651689
-0.141152 -0.239778 0.64071
-0.139183 -0.239552 0.644227
-0.152341 -0.245612 0.667288
-0.149861 -0.245479 0.670978
-0.149255 -0.242962 0.65708
-0.146843 -0.242838 0.660803
-0.153539 -0.272712 0.738732
-0.156218 -0.271979 0.732389
-0.154732 -0.27587 0.73984
-0.157405 -0.275478 0.733852
-0.15569 -0.279341 0.74057
-0.158283 -0.279253 0.734965
-0.149427 -0.29125 0.754755
-0.1482 -0.288536 0.758356
-0.147404 -0.286048 0.760029
-0.150634 -0.288718 0.753066
-0.149174 -0.286055 0.756237
-0.151224 -0.286079 0.752055
-0.148028 -0.300412 0.74905
-0.14653 -0.300334 0.752778
-0.144962 -0.300546 0.756795
-0.14846 -0.298571 0.750336
-0.146795 -0.298405 0.754512
-0.145219 -0.298635 0.758575
-0.148935 -0.296492 0.751579
-0.147064 -0.296319 0.756144
-0.145307 -0.296537 0.760723
-0.152364 -0.292318 0.747782
-0.154923 -0.292989 0.741963
-0.149321 -0.294184 0.752896
-0.151838 -0.294856 0.746998
-0.154528 -0.295407 0.740839
-0.151309 -0.297181 0.745752
-0.154393 -0.298035 0.738251
-0.150431 -0.29928 0.745189
-0.152622 -0.3004 0.739112
-0.149547 -0.30104 0.74486
-0.15115 -0.302054 0.740079
-0.14967 -0.302998 0.741895
-0.148148 -0.303592 0.744385
-0.14798 -0.302033 0.747006
-0.106766 -0.284142 0.641492
-0.109121 -0.284012 0.640585
-0.106818 -0.277446 0.624799
-0.109244 -0.277423 0.624059
-0.106699 -0.270139 0.611151
-0.109268 -0.270381 0.610704
-0.106476 -0.263399 0.603965
-0.109349 -0.263915 0.603651
-0.106411 -0.25785 0.602748
-0.109809 -0.258577 0.602432
-0.105824 -0.303709 0.705741
-0.109326 -0.30351 0.700168
-0.105899 -0.299947 0.693149
-0.108603 -0.299427 0.688319
-0.106182 -0.295331 0.676902
-0.108605 -0.295055 0.674674
-0.106513 -0.290064 0.659239
-0.108857 -0.289974 0.65832
-0.134969 -0.315649 0.733723
-0.133496 -0.315662 0.740705
-0.131983 -0.315658 0.748147
-0.136873 -0.315521 0.735946
-0.135299 -0.315405 0.742758
-0.133727 -0.315268 0.749909
-0.138576 -0.315059 0.738504
-0.13691 -0.314848 0.745138
-0.135294 -0.314621 0.751957
-0.141292 -0.313023 0.743478
-0.143492 -0.313285 0.736763
-0.145887 -0.313512 0.729668
-0.140074 -0.314199 0.741099
-0.142083 -0.314421 0.734324
-0.144249 -0.314573 0.72733
-0.140405 -0.315209 0.731692
-0.142365 -0.315271 0.72479
-0.130369 -0.31537 0.731129
-0.129139 -0.315662 0.738678
-0.127865 -0.315932 0.746591
-0.132839 -0.315558 0.732098
-0.13149 -0.315706 0.739311
-0.13008 -0.315842 0.747001
-0.138578 -0.315573 0.729089
-0.140419 -0.315539 0.722176
-0.13659 -0.315584 0.726705
-0.138402 -0.315446 0.71951
-0.110355 -0.313063 0.738022
-0.110117 -0.314257 0.744004
-0.109765 -0.315403 0.750078
-0.114296 -0.313774 0.735019
-0.113739 -0.314785 0.744011
-0.113242 -0.315745 0.750556
-0.118007 -0.314408 0.732772
-0.117305 -0.315305 0.741745
-0.116477 -0.315983 0.750827
-0.124402 -0.315011 0.731007
-0.125769 -0.314158 0.721495
-0.127555 -0.312919 0.709587
-0.121312 -0.314793 0.731556
-0.122382 -0.31377 0.722162
-0.123554 -0.312478 0.71224
-0.118794 -0.313252 0.723609
-0.119914 -0.311945 0.714401
